SN name,oid,id,ra,dec,Main identifier,z gal,galdim_majaxis,otype,label,description,otypes,zcmb SN,zhelcmb SN,dz,mb,dmb,x1,dx1,color,dcolor,3rdvar,d3rdvar,tmax,dtmax,cov_m_s,cov_m_c,cov_s_c,set,ra SN,dec SN,biascor
"sn2004s",16634930,"AT 2020spq",101.44020833333333,-31.234900000000003,"ATLAS 20zbm",0.013,,"SN?","Supernova_Candidate","SuperNova Candidate","SN?|ev",0.010291,0.00937,0,14.157498,0.173593,-0.117402,0.082511,0.022258,0.024846,9.708903,0.280891,53040.308109,0.290845,-4.83E-4,6.65E-4,-3.48E-4,3,101.43125,-31.23125,-0.00843
"sn2004s",16634930,"AT 2020spq",101.44020833333333,-31.234900000000003,"ATLAS 20zbm",0.013,,"SN?",,"SuperNova Candidate","SN?|ev",0.010291,0.00937,0,14.157498,0.173593,-0.117402,0.082511,0.022258,0.024846,9.708903,0.280891,53040.308109,0.290845,-4.83E-4,6.65E-4,-3.48E-4,3,101.43125,-31.23125,-0.00843
"sn2004s",16634930,"ATLAS 20zbm",101.44020833333333,-31.234900000000003,"ATLAS 20zbm",0.013,,"SN?","Supernova_Candidate","SuperNova Candidate","SN?|ev",0.010291,0.00937,0,14.157498,0.173593,-0.117402,0.082511,0.022258,0.024846,9.708903,0.280891,53040.308109,0.290845,-4.83E-4,6.65E-4,-3.48E-4,3,101.43125,-31.23125,-0.00843
"sn2004s",16634930,"ATLAS 20zbm",101.44020833333333,-31.234900000000003,"ATLAS 20zbm",0.013,,"SN?",,"SuperNova Candidate","SN?|ev",0.010291,0.00937,0,14.157498,0.173593,-0.117402,0.082511,0.022258,0.024846,9.708903,0.280891,53040.308109,0.290845,-4.83E-4,6.65E-4,-3.48E-4,3,101.43125,-31.23125,-0.00843
"sn1997do",440013,"2MASX J07264270+4705382",111.67796498124,47.09410154219,"UGC  3845",0.010117,0.693,"G","Galaxy","Galaxy","*|G|IR",0.01055,0.01012,0,14.449314,0.17309,0.791332,0.18787,0.118415,0.030547,9.941915,0.280891,50766.597803,0.115604,0.003521,9.89E-4,0.001322,3,111.677083,47.093333,-0.008434
"sn1997do",440013,"Gaia EDR3 976172403399130368",111.67796498124,47.09410154219,"UGC  3845",0.010117,0.693,"G","Galaxy","Galaxy","*|G|IR",0.01055,0.01012,0,14.449314,0.17309,0.791332,0.18787,0.118415,0.030547,9.941915,0.280891,50766.597803,0.115604,0.003521,9.89E-4,0.001322,3,111.677083,47.093333,-0.008434
"sn1997do",440013,"IRAS 07230+4711",111.67796498124,47.09410154219,"UGC  3845",0.010117,0.693,"G","Galaxy","Galaxy","*|G|IR",0.01055,0.01012,0,14.449314,0.17309,0.791332,0.18787,0.118415,0.030547,9.941915,0.280891,50766.597803,0.115604,0.003521,9.89E-4,0.001322,3,111.677083,47.093333,-0.008434
"sn1997do",440013,"IRAS F07230+4711",111.67796498124,47.09410154219,"UGC  3845",0.010117,0.693,"G","Galaxy","Galaxy","*|G|IR",0.01055,0.01012,0,14.449314,0.17309,0.791332,0.18787,0.118415,0.030547,9.941915,0.280891,50766.597803,0.115604,0.003521,9.89E-4,0.001322,3,111.677083,47.093333,-0.008434
"sn1997do",440013,"KUG 0723+471",111.67796498124,47.09410154219,"UGC  3845",0.010117,0.693,"G","Galaxy","Galaxy","*|G|IR",0.01055,0.01012,0,14.449314,0.17309,0.791332,0.18787,0.118415,0.030547,9.941915,0.280891,50766.597803,0.115604,0.003521,9.89E-4,0.001322,3,111.677083,47.093333,-0.008434
"sn1997do",440013,"LEDA   21020",111.67796498124,47.09410154219,"UGC  3845",0.010117,0.693,"G","Galaxy","Galaxy","*|G|IR",0.01055,0.01012,0,14.449314,0.17309,0.791332,0.18787,0.118415,0.030547,9.941915,0.280891,50766.597803,0.115604,0.003521,9.89E-4,0.001322,3,111.677083,47.093333,-0.008434
"sn1997do",440013,"MCG+08-14-016",111.67796498124,47.09410154219,"UGC  3845",0.010117,0.693,"G","Galaxy","Galaxy","*|G|IR",0.01055,0.01012,0,14.449314,0.17309,0.791332,0.18787,0.118415,0.030547,9.941915,0.280891,50766.597803,0.115604,0.003521,9.89E-4,0.001322,3,111.677083,47.093333,-0.008434
"sn1997do",440013,"PSCz Q07230+4711",111.67796498124,47.09410154219,"UGC  3845",0.010117,0.693,"G","Galaxy","Galaxy","*|G|IR",0.01055,0.01012,0,14.449314,0.17309,0.791332,0.18787,0.118415,0.030547,9.941915,0.280891,50766.597803,0.115604,0.003521,9.89E-4,0.001322,3,111.677083,47.093333,-0.008434
"sn1997do",440013,"UGC  3845",111.67796498124,47.09410154219,"UGC  3845",0.010117,0.693,"G","Galaxy","Galaxy","*|G|IR",0.01055,0.01012,0,14.449314,0.17309,0.791332,0.18787,0.118415,0.030547,9.941915,0.280891,50766.597803,0.115604,0.003521,9.89E-4,0.001322,3,111.677083,47.093333,-0.008434
"sn1997do",440013,"UZC J072642.7+470540",111.67796498124,47.09410154219,"UGC  3845",0.010117,0.693,"G","Galaxy","Galaxy","*|G|IR",0.01055,0.01012,0,14.449314,0.17309,0.791332,0.18787,0.118415,0.030547,9.941915,0.280891,50766.597803,0.115604,0.003521,9.89E-4,0.001322,3,111.677083,47.093333,-0.008434
"sn1997do",440013,"Z 0723.0+4712",111.67796498124,47.09410154219,"UGC  3845",0.010117,0.693,"G","Galaxy","Galaxy","*|G|IR",0.01055,0.01012,0,14.449314,0.17309,0.791332,0.18787,0.118415,0.030547,9.941915,0.280891,50766.597803,0.115604,0.003521,9.89E-4,0.001322,3,111.677083,47.093333,-0.008434
"sn1997do",440013,"Z 235-15",111.67796498124,47.09410154219,"UGC  3845",0.010117,0.693,"G","Galaxy","Galaxy","*|G|IR",0.01055,0.01012,0,14.449314,0.17309,0.791332,0.18787,0.118415,0.030547,9.941915,0.280891,50766.597803,0.115604,0.003521,9.89E-4,0.001322,3,111.677083,47.093333,-0.008434
"sn2005al",2208076,"2MASX J13500146-3034426",207.50626356401,-30.57840454652,"NGC  5304",0.012399,0.963,"GiG","GtowardsGroup","Galaxy towards a Group of Galaxies","*|G|GiC|GiG|Rad",0.012317,0.0124,0,14.875843,0.16145,-1.180547,0.028436,-0.091481,0.018963,10.691509,0.280891,53430.552176,0.081061,-1.02E-4,2.73E-4,-1.7E-4,3,207.501373,-30.576166,-0.008477
"sn2005al",2208076,"6dFGS gJ135001.5-303443",207.50626356401,-30.57840454652,"NGC  5304",0.012399,0.963,"GiG","GtowardsGroup","Galaxy towards a Group of Galaxies","*|G|GiC|GiG|Rad",0.012317,0.0124,0,14.875843,0.16145,-1.180547,0.028436,-0.091481,0.018963,10.691509,0.280891,53430.552176,0.081061,-1.02E-4,2.73E-4,-1.7E-4,3,207.501373,-30.576166,-0.008477
"sn2005al",2208076,"ESO 445-52",207.50626356401,-30.57840454652,"NGC  5304",0.012399,0.963,"GiG","GtowardsGroup","Galaxy towards a Group of Galaxies","*|G|GiC|GiG|Rad",0.012317,0.0124,0,14.875843,0.16145,-1.180547,0.028436,-0.091481,0.018963,10.691509,0.280891,53430.552176,0.081061,-1.02E-4,2.73E-4,-1.7E-4,3,207.501373,-30.576166,-0.008477
"sn2005al",2208076,"ESO-LV 445-0520",207.50626356401,-30.57840454652,"NGC  5304",0.012399,0.963,"GiG","GtowardsGroup","Galaxy towards a Group of Galaxies","*|G|GiC|GiG|Rad",0.012317,0.0124,0,14.875843,0.16145,-1.180547,0.028436,-0.091481,0.018963,10.691509,0.280891,53430.552176,0.081061,-1.02E-4,2.73E-4,-1.7E-4,3,207.501373,-30.576166,-0.008477
"sn2005al",2208076,"FLASH J135001.65-303441.6",207.50626356401,-30.57840454652,"NGC  5304",0.012399,0.963,"GiG","GtowardsGroup","Galaxy towards a Group of Galaxies","*|G|GiC|GiG|Rad",0.012317,0.0124,0,14.875843,0.16145,-1.180547,0.028436,-0.091481,0.018963,10.691509,0.280891,53430.552176,0.081061,-1.02E-4,2.73E-4,-1.7E-4,3,207.501373,-30.576166,-0.008477
"sn2005al",2208076,"Gaia EDR3 6175141082964644608",207.50626356401,-30.57840454652,"NGC  5304",0.012399,0.963,"GiG","GtowardsGroup","Galaxy towards a Group of Galaxies","*|G|GiC|GiG|Rad",0.012317,0.0124,0,14.875843,0.16145,-1.180547,0.028436,-0.091481,0.018963,10.691509,0.280891,53430.552176,0.081061,-1.02E-4,2.73E-4,-1.7E-4,3,207.501373,-30.576166,-0.008477
"sn2005al",2208076,"LEDA   49090",207.50626356401,-30.57840454652,"NGC  5304",0.012399,0.963,"GiG","GtowardsGroup","Galaxy towards a Group of Galaxies","*|G|GiC|GiG|Rad",0.012317,0.0124,0,14.875843,0.16145,-1.180547,0.028436,-0.091481,0.018963,10.691509,0.280891,53430.552176,0.081061,-1.02E-4,2.73E-4,-1.7E-4,3,207.501373,-30.576166,-0.008477
"sn2005al",2208076,"MCG-05-33-022",207.50626356401,-30.57840454652,"NGC  5304",0.012399,0.963,"GiG","GtowardsGroup","Galaxy towards a Group of Galaxies","*|G|GiC|GiG|Rad",0.012317,0.0124,0,14.875843,0.16145,-1.180547,0.028436,-0.091481,0.018963,10.691509,0.280891,53430.552176,0.081061,-1.02E-4,2.73E-4,-1.7E-4,3,207.501373,-30.576166,-0.008477
"sn2005al",2208076,"NGC  5304",207.50626356401,-30.57840454652,"NGC  5304",0.012399,0.963,"GiG","GtowardsGroup","Galaxy towards a Group of Galaxies","*|G|GiC|GiG|Rad",0.012317,0.0124,0,14.875843,0.16145,-1.180547,0.028436,-0.091481,0.018963,10.691509,0.280891,53430.552176,0.081061,-1.02E-4,2.73E-4,-1.7E-4,3,207.501373,-30.576166,-0.008477
"sn2005al",2208076,"NVSS J135001-303441",207.50626356401,-30.57840454652,"NGC  5304",0.012399,0.963,"GiG","GtowardsGroup","Galaxy towards a Group of Galaxies","*|G|GiC|GiG|Rad",0.012317,0.0124,0,14.875843,0.16145,-1.180547,0.028436,-0.091481,0.018963,10.691509,0.280891,53430.552176,0.081061,-1.02E-4,2.73E-4,-1.7E-4,3,207.501373,-30.576166,-0.008477
"sn2005al",2208076,"SGC 134710-3019.8",207.50626356401,-30.57840454652,"NGC  5304",0.012399,0.963,"GiG","GtowardsGroup","Galaxy towards a Group of Galaxies","*|G|GiC|GiG|Rad",0.012317,0.0124,0,14.875843,0.16145,-1.180547,0.028436,-0.091481,0.018963,10.691509,0.280891,53430.552176,0.081061,-1.02E-4,2.73E-4,-1.7E-4,3,207.501373,-30.576166,-0.008477
